NOM_LOC,NOM_ENT,NOM_MUN,COM_ID,dec_lon,dec_lat,value,PCA_norm,region
Isla Arena,Campeche,Calkiní,4_1_2,-90.45245916666667,20.690499444444445,-0.9211662411689758,0.19586859491606035,Golfo de México y Caribe
Pucnachén,Campeche,Calkiní,4_1_9,-90.21930777777779,20.365076666666667,-0.8828477263450623,0.20520183959335916,Golfo de México y Caribe
San Nicolás,Campeche,Calkiní,4_1_11,-90.2356975,20.437918888888888,-0.9333822131156921,0.19289314934689733,Golfo de México y Caribe
Santa Cruz Ex-Hacienda,Campeche,Calkiní,4_1_12,-90.24051916666667,20.39787111111111,-0.9023002982139587,0.20046377462164877,Golfo de México y Caribe
Tankuché,Campeche,Calkiní,4_1_14,-90.24278555555556,20.50789222222222,-0.9732245206832886,0.18318875431109324,Golfo de México y Caribe
Santa María,Campeche,Calkiní,4_1_16,-90.24536916666666,20.372651944444446,-0.8831559419631958,0.20512676748290226,Golfo de México y Caribe
San Francisco de Campeche,Campeche,Campeche,4_2_1,-90.53964916666666,19.844814166666666,-0.7435073256492615,0.2391409956150106,Golfo de México y Caribe
Uayamón,Campeche,Campeche,4_2_68,-90.42054694444445,19.65893472222222,-0.841231107711792,0.21533840376164845,Golfo de México y Caribe
Bethania,Campeche,Campeche,4_2_70,-90.36565888888889,19.908939444444442,-0.8036524057388306,0.22449145214519536,Golfo de México y Caribe
San Antonio Bobolá,Campeche,Campeche,4_2_71,-90.42053083333334,19.770520555555553,-0.8242707252502441,0.2194694458978485,Golfo de México y Caribe
Castamay,Campeche,Campeche,4_2_73,-90.43043222222222,19.837024166666666,-0.8082339763641357,0.22337551850714077,Golfo de México y Caribe
Chemblás,Campeche,Campeche,4_2_75,-90.35620805555556,19.92016166666667,-0.8006237149238586,0.22522915068486787,Golfo de México y Caribe
Chiná,Campeche,Campeche,4_2_77,-90.49528111111111,19.76931972222222,-0.7924525737762451,0.22721939639177682,Golfo de México y Caribe
